identifier,dc:identifier,dc:title,dc:creator,dc:description,dc:date,dc:subject,dc:source,dc:type1,dc:type2,dc:type,dc:format,dc:rights
oai:nwdh:mcl:oai:gallery.multcolib.org:1136,https://gallery.multcolib.org/node/1136,Second library home in Ladd and Tilton Bank,,Photo of the NE corner of the Ladd and Tilton Bank which was on the opposite corner from the original Stark and First location. The library was located on the second floor of this building from 1869 until 1893.  Transcribed from front of photo: 'Second home of the library upstairs in the Ladd and Tilton Bank.'  Transcribed from back of photo: 'Ladd & Tilton'.; ||,,"Portland, Oregon; Bank buildings; Historic buildings; Subscription libraries; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1137,https://gallery.multcolib.org/node/1137,Stark Street Library building,,The location of the library from 1893 to 1913 at SW Stark and Park streets. There are two cars parked on the streets and streetcar tracks are visible. Power lines are visible across the photograph. Transcribed from back of photo: 'Stark Street Building'.; ||,1890-1899,"Portland, Oregon; Library buildings; Public libraries--Buildings; Chimneys; Electric lines--Poles and towers; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1138,https://gallery.multcolib.org/node/1138,Two men reading periodicals,,"Two men sit at separate tables in the Periodical Room on the first floor of the Stark Street Library. A magazine rack stands at the back of the room and chairs fashioned in the Thonet style sit at the long reading tables. Framed pictures hang on the walls, and there are periodicals laid out on the tables. Cords extend from the combination gas-electric ceiling fixtures to the desk lamps in the rear of the photo.; ||",1890-1899,"Portland, Oregon; Reading rooms; Tables; Chairs; Information display systems--Periodicals; Library users; Gas light fixtures; Electric light fixtures; Periodicals; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1139,https://gallery.multcolib.org/node/1139,Stark Street Library Directors' Room,,"Unoccupied Directors' Room on the second floor of the Stark Street Library. Furnishings include a large ornate table and six matching chairs. The room features heavy double doors with a glass transom above, a fireplace with a large ornate mantelpiece and combination gas-electric light fixtures. The gas lights are pointing up; the electric lights are pointing down.; ||",,"Portland, Oregon; Gas light fixtures; Electric light fixtures; Fireplaces; Tables; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1140,https://gallery.multcolib.org/node/1140,Stark Street Library Reference Room,,"Looking east across the unoccupied Reference Room located on the second floor of the Stark Street Library. This long room with a vaulted ceiling originally housed the Portland Art Museum before the museum relocated in 1905. A Greek frieze, a replica of frieze at the Parthenon which was left behind by the museum, is mounted high on the wall, partially encircling the room. The frieze was moved to the Central library when it opened in 1913 and survived in part until the mid 1990s. Iron bookshelves lined with books stand at right angles to the interior wall, while reading tables with lamps occupy the opposite side of the long room, closer to the windows. A four-armed light fixture is suspended from the ceiling. Transcribed from back of photo: 'Reference Room'.; ||",1900-1909,"Portland, Oregon; Library shelving; Friezes; Gas light fixtures; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1141,https://gallery.multcolib.org/node/1141,Art Reference Room at Stark Street Library,,The Art Reference Room on the second floor of the Stark Street Library.  Art and recessed book shelves line the walls behind a large table with chairs. High windows and hanging chandeliers fill the room with light.; ||,1900-1909,"Portland, Oregon; Tables; Chandeliers; Library shelving; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1142,https://gallery.multcolib.org/node/1142,"Cataloging Room, Stark Street Library",,A woman sits at a desk in an office at the Stark Street Library. Behind her is a table with a small card catalog on it. A larger card catalog is in the foreground. To her right is a tall bookcase with a telephone on the wall beside it. Transcribed from back of photo: 'Cataloguing room. Library - Broadway and Stark.'; ||,,"Portland, Oregon; Library employees; Card catalogs; Telephone; Technical services (Libraries); Cataloging; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1143,https://gallery.multcolib.org/node/1143,Stark Street Library reading room,,A wall of windows provides light for unoccupied reading tables and stacks shelving on the first floor of the Stark Street Library. Combination gas-electric lamps hang from the ceiling and line the walkway.; ||,,"Portland, Oregon; Libraries; Reading rooms; Library shelving; Chairs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1144,https://gallery.multcolib.org/node/1144,"Reading table, Stark Street Library",,A long reading table contains stacks of literature arranged down the center of the table. Two lamps hang from the ceiling over the table. Two large bookshelves containing bound volumes line the wall behind the table. The chairs are placed at 45 degree angles to the table.; ||,,"Portland, Oregon; Library shelving; Reading rooms; Tables; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1145,https://gallery.multcolib.org/node/1145,Central Library under construction,,"A rainy day view of the southwest corner of the Central Library while under construction, looking northeast from the corner of SW Taylor and 11th Avenue. The building is encased in scaffolding and, as an apparent protective measure, a large tree on SW Taylor Street is surrounded by boards. A construction pulley is visible on the roof and a construction worker stands at the near corner of the building. Piles of construction materials are visible in the photo. Two wooden structures are also visible at ground level. One looks like a construction shed with a chimney. Adjacent to that structure is what appears to be a piece of steam powered machinery. The other structure is a lean-to that appears to be a storage area for construction materials. Streetcar tracks can be seen on SW 11th Avenue. Transcribed from back of photo: 'Mar 3 - 1913.'; ||",1910-1919,"Portland, Oregon; Public libraries--Design and construction; Street-railroad tracks; Library architecture; Scaffolding; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1146,https://gallery.multcolib.org/node/1146,Central Library construction,,A view of the southwest corner of the Central Library during construction. Scaffolding lines the outside wall on Taylor Street. Two workmen are on the roof outside the parapet wall. Streetcar tracks run down 11th Avenue. Transcribed from back of photo: 'April 14 1913'.; ||,1910-1919,"Portland, Oregon; Library architecture; Scaffolding; Public libraries--Design and construction; Street-railroad tracks; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1147,https://gallery.multcolib.org/node/1147,Central Library construction nearing completion,,"A view of the southwest corner of Central Library, from the corner of SW Taylor and 11th Avenue. The scaffolding has been taken down and the windows are installed. There is building material around the building and workers can be seen on ladders against the building, as well as up in the third-floor windows. Two men wearing suits and hats stand at the rear entrance. Streetcar tracks can be seen on 11th Avenue. Transcribed from back of photo: 'May 2 - 1913'.; ||",1910-1919,"Portland, Oregon; Public libraries--Design and construction; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1148,https://gallery.multcolib.org/node/1148,Central Library's front facade,,"A view of the corner of SW 10th Avenue and Yamhill during construction of the Central Library. A few workers can be seen up by the three entrance doorways, and another worker is standing in the first floor window in the northeast corner of the building. The front stairs have yet to be completed, and large mounds of dirt surround the building. Building material is piled up in various locations along both SW 10th Avenue and Yamhill. There is a sign hanging off the front of the second floor balcony over the entrance way that reads 'Ornamental iron work on this building made by East Portland Wire and Iron Works.' Two sets of streetcar tracks can be seen running down SW 10th Avenue. Transcribed from back of photo: 'May 2 - 1913.'; ||",1910-1919,"Portland, Oregon; Public libraries--Design and construction; Street-railroad tracks; Construction workers; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1149,https://gallery.multcolib.org/node/1149,Entrance to Central Library,,"A view of the front entrance to Central Library, taken from an elevated level across 10th Avenue. An air-conditioning unit can be seen in a third floor window and a flag flies from the roof.; ||",1970-1979,"Portland, Oregon; Trees; Public libraries--Buildings; Automobiles; Flags; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1150,https://gallery.multcolib.org/node/1150,"Central Library from the street, 1970s",,"The northeast corner of Central Library is shown at the intersection of SW 10th and Yamhill, with the 'FINE ARTS' legend visible on the northern frieze of the building. In the foreground, an early 1970s Toyota Corolla is parked next to a meter.  A Volkswagen Beetle is parked on the north side of the building. Newspaper stands, a telephone booth and a mailbox are also visible outside the library. The trees on the north side of the building are elms planted in 1968 to replace elms damaged in a windstorm.; ||",1970-1979,"Portland, Oregon; Telephone booths; Automobiles; Toyota Corolla automobiles; Public libraries--Buildings; Street lighting; Volkswagen automobiles; Mailboxes; Trees; Elm; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1151,https://gallery.multcolib.org/node/1151,Central Library building photographed at the time of its construction,,"The Central Library is shown before its opening.  The view is looking northwest towards the corner of SW 10th and Taylor, with the main entrance on 10th Avenue visible on the right. A car parked in front of the main entrance is facing south as SW 10th was a two-way street at the time. This photo appeared in the dedication brochure. Transcribed from back of photo: 'Portland Public Library. Central Building. Doyle & Patterson Archtc.'; ||",1910-1919,"Portland, Oregon; Automobiles; Public libraries--Buildings; Trees; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1152,https://gallery.multcolib.org/node/1152,Artisan carving stone panel,,"A photo of Yamhill Street, looking east towards 10th Avenue. A man seated on the sidewalk is working on a panel of the stone balustrade railing surrounding Central Library. The blank square of a future panel can be seen near the center of the photo. Earth is built up behind the balustrade. In the background is a profile of the Pythian Building.; ||",1910-1919,"Portland, Oregon; Stone carving; Decoration and ornament, Architectural; Benches; Public libraries--Design and construction; Library decoration; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1153,https://gallery.multcolib.org/node/1153,Elevated view of Central Library,,The northeast corner of Central Library is shown at the intersection of SW 10th and Yamhill. The MAX rail tracks can be seen on Yamhill on the north side. Two phone booths next to a lamp post can be seen at the bottom of the photo. Along Yamhill are elms that were planted in 1986 replacing trees that MAX construction in 1985 had damaged. Transcribed from back of photo: 'Multnomah County Central Library - 1992'.; ||,1990-1999,"Portland, Oregon; Public libraries--Buildings; Telephone booths; Automobiles; Elm; Trees; Street-railroad tracks; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1154,https://gallery.multcolib.org/node/1154,"Central Library on a sunny morning, 1913",,"View of Central Library from across 10th Avenue (then 10th Street). There is one car parked on the street. The trees have full foliage. A few of the windows on the third floor are open from the top, and some blinds on second floor windows are partially closed. Transcribed from back of photo: '10th Street Bldg 1913'.; ||",1910-1919,"Portland, Oregon; Public libraries--Buildings; Automobiles; Trees; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1155,https://gallery.multcolib.org/node/1155,Sundays return to Central Library,,A photograph taken in 1998 from near the bike racks in front of the Central Library. There is a large banner along the balcony above the front doors that reads 'Sundays Return to Central announcing the restoration of Sunday hours at the Central Library'; ||,1990-1999,"Portland, Oregon; Public libraries--Buildings; Bicycle parking; Library users; ",Multnomah County Library,color photographs,StillImage; color photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1156,https://gallery.multcolib.org/node/1156,Northeast corner of Central Library,,"A view of the northeast corner of the Central Library from an elevated vantage point at 10th Avenue and Yamhill Street. The exact date of the photo is uncertain, but the concrete and steel addition visible on the roof indicates this picture can be dated to after the 1997 renovation.; ||",,"Portland, Oregon; Public libraries--Buildings; Elm; Trees; Pedestrians; ",Multnomah County Library,color photographs,StillImage; color photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1157,https://gallery.multcolib.org/node/1157,A sunny day at the entrance to the Central Library,,"A woman and boy ascend the stairway to the entrance of the Central Library on 10th Avenue, as a woman is descending while reading. Two young men lean against the ornately carved middle archway of the entrance. The balconies above the entrance are visible. One of the bronze lamp standards located on either side of the broad steps can be partially seen through the plants on the right side of the photograph. The young boy wears knickers and a matching jacket. The man on the right has a newsboy cap. Transcribed from back of photo: 'Central Library, Portland, OR 1935'.; ||",1930-1939,"Portland, Oregon; Staircases; Balconies; Lampposts; Public libraries--Buildings; Women; Children; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1158,https://gallery.multcolib.org/node/1158,"Front entrance detail, Central Library",,This photo shows the southernmost of the three main entrance doors of Central Library. The iron grill-work gates are open. Carved stonework decorates the balcony and arched doorways. A bronze lamp post stands to the left of the stairs leading up to the entrance. A large maple tree stands at the edge of the street. Transcribed from back of photo: 'Found among old blueprints.'; ||,,"Portland, Oregon; Public libraries--Buildings; Decorative cast-ironwork; Facades; Lampposts; Library decoration; Decoration and ornament, Architectural; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1159,https://gallery.multcolib.org/node/1159,Ivy on the south side of Central Library,,A view of the sidewalk along Taylor Street looking west. Elm trees shade the sidewalk where two children walk on the balustrade railing. Ivy covers the outside walls and lines the windows. This aesthetic was generally supported by the public and ivy remained on the building up to and during the 1940s. Transcribed from back of photo: 'Central.'; ||,1940-1949,"Portland, Oregon; Ivy; Elm; Public libraries--Buildings; Children; Benches; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1160,https://gallery.multcolib.org/node/1160,Patrons in the Reference Room,"Sands, Howard A.","Patrons are reading at long tables in the Reference Room (currently the Science and Business Room), located on the second floor. The Reference Room contained nine long reading tables, each with ten Windsor chairs. Bookshelves six shelves high run along the walls and a card catalog is located behind the reference desk. A doorway at the end leads into the Technical Room (currently the Government Documents Room). Transcribed from back of photo: 'Reference Dept. Central Reference'.; ||",1920-1929,"Portland, Oregon; Public libraries--Reference services; Public libraries--Employees; Library users; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC-RUU/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1161,https://gallery.multcolib.org/node/1161,Central Library Reference Room,,"A view from the northwest corner of the Reference Room (later the Science and Business Room) on the second floor of Central Library. A large clock is mounted above the eastern doorway leading to the Technical Room (later the Government Documents Room), and the door on the south wall leads out into the Lobby. There are two rows of long reading tables with Windsor chairs around them. In the southeast corner of the room is the Reference Desk. In the lower right corner of the photo is an slanted table, possibly a drafting table. Transcribed from back of photo: 'Central Library Reading Room 1913'.; ||",1910-1919,"Portland, Oregon; Books; Tables; Reading rooms; Windsor chairs; Wall clocks; Library shelving; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1162,https://gallery.multcolib.org/node/1162,"Technical Room, Central Library",,"A view from the northeast corner of the Technical Room (later the Government Documents Room) located on the second floor of Central Library. The room has a mezzanine level, which is accessed via the staircase that can be seen in the left side of the photo (the southeast corner). The mezzanine is surrounded by a wooden railing, and contains bookshelves lined with books. On the western wall, the mezzanine is supported by large wooden bookshelves placed at intervals to create several small alcoves of books. Each alcove is lighted by a small white translucent light affixed to its ceiling. On the main floor of the Technical Room are several long wooden reading tables with chairs. A small desk, presumably for the staff, is located near the staircase. The south wall on the main floor has shelving for thinner pamphlets and similar reading materials. A book truck can be seen resting in one of the alcoves, and double doors with round windows can be seen leading to the Reference Room. Transcribed from back of photo: 'Technical Rm. Central Library'.; ||",1910-1919,"Portland, Oregon; Books; Chairs; Electric light fixtures; Library shelving; Public libraries; Reading rooms; Tables; Wall clocks; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1163,https://gallery.multcolib.org/node/1163,"Periodical Room, Central Library",,"A view of the Periodical Room on the first floor, seen from the southeast corner. There are about ten long reading tables, each with ten Windsor chairs, and a smaller circular reading table in the lower right foreground. At the far end of the room are double doors which lead to the Binding and Shipping Room. Periodical shelving line the walls and on the right side of the photo three white marble steps lead up to the first floor lobby. The room in this photo became the Popular Library in the 1950s. Transcribed from back of photo: 'Portland Periodical. Central - Pop. Library'.; ||",1910-1919,"Portland, Oregon; Public libraries--Periodicals; Windsor chairs; Reading rooms; Stairs; Information display systems--Periodicals; Tables; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1164,https://gallery.multcolib.org/node/1164,"Children's Library, Central Library",,"View of the Children's Library when it was located in the northeast corner of the first floor of Central Library. This corner of the library is now occupied by the U.S. Bank Room. Four round wooden tables each surrounded by wooden chairs can be seen in the photo. At the north end of the room there is a fireplace with what seems to be a pair of shoes in it. There are dark wooden benches on either side of the fireplace. In the foreground to the right there is a card catalog and behind it a desk is visible. A second desk is partially visible in the left foreground. A file for book cards suggests that books were checked out at this desk. A section of wall shelving is labeled 'Journeys into Foreign Lands' and above those shelves hang fifteen photos, framed in groups of five, that appear to portray men at work. Transcribed from back of photo: 'Information Desk 2nd floor 1913. Children's Room.' The transcription is incorrect: this photograph is of the Children's Library on the first floor.; ||",1910-1919,"Portland, Oregon; Children's libraries; Tables; Chairs; Benches; Children's furniture; Fireplaces; Card catalogs; Library shelving; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1165,https://gallery.multcolib.org/node/1165,The Lemnian Athena,,"A replica of Phidias' 5th century BCE statue of the Greek goddess Athena stands in an alcove behind the information desk on the second floor of Central Library. The alcove is framed by two pairs of Corinthian columns. To the left of the alcove a card catalog can be seen, and a book cart full of books stands between the desk and the statue. On the desk, which has a label reading 'Information Desk' pinned to it, are a lamp, a glass vase full of flowers, a blotter, two inkwells, and a calendar. The statue of Athena is rumored to have been damaged beyond repair during a mid-century remodel of the Central Library.; ||",,"Portland, Oregon; Card catalogs; Athena (Greek deity); Statues; Library information desks; Lamps; Columns, Corinthian; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
